"","Year_Month","Country","Trade.Value"
"1",202001,"Georgia",177117159
"2",202001,"Georgia",11634452
"3",202001,"Georgia",106518749
"4",202001,"Georgia",3958817
"5",202001,"Georgia",55004568
"6",202001,"Georgia",572
"7",202002,"Georgia",167935227
"8",202002,"Georgia",13289000
"9",202002,"Georgia",94047898
"10",202002,"Georgia",7418544
"11",202002,"Georgia",53148007
"12",202002,"Georgia",31775
"13",202003,"Georgia",194403473
"14",202003,"Georgia",8805280
"15",202003,"Georgia",124868046
"16",202003,"Georgia",9867726
"17",202003,"Georgia",50856479
"18",202003,"Georgia",5940
"19",202001,"Georgia",641199037
"20",202001,"Georgia",51451864
"21",202001,"Georgia",241519151
"22",202001,"Georgia",50122284
"23",202001,"Georgia",232348532
"24",202001,"Georgia",65757203
"25",202002,"Georgia",698792425
"26",202002,"Georgia",46299669
"27",202002,"Georgia",248637634
"28",202002,"Georgia",63030420
"29",202002,"Georgia",284584140
"30",202002,"Georgia",56240560
"31",202003,"Georgia",654707311
"32",202003,"Georgia",44628795
"33",202003,"Georgia",212684986
"34",202003,"Georgia",60081883
"35",202003,"Georgia",299208818
"36",202003,"Georgia",38102827
"37",202001,"Georgia",641539592
"38",202001,"Georgia",51483509
"39",202001,"Georgia",241732084
"40",202001,"Georgia",50122284
"41",202001,"Georgia",232444509
"42",202001,"Georgia",65757203
"43",202001,"Mexico",36068891070
"44",202001,"Mexico",3357372061
"45",202001,"Mexico",12573089589
"46",202001,"Mexico",16928645458
"47",202001,"Mexico",16928645458
"48",202001,"Mexico",2491365200
"49",202001,"Mexico",718418762
"50",202001,"Mexico",82675
"51",202001,"Mexico",1450
"52",202001,"Mexico",81225
"53",202001,"Mexico",81225
"54",202001,"Mexico",359
"55",202001,"Mexico",359
"56",202001,"Mexico",9856
"57",202001,"Mexico",2159
"58",202001,"Mexico",7697
"59",202001,"Mexico",74068
"60",202001,"Mexico",166
"61",202001,"Mexico",73902
"62",202001,"Mexico",1728
"63",202001,"Mexico",1728
"64",202001,"Mexico",34662088
"65",202001,"Mexico",5173556
"66",202001,"Mexico",29206948
"67",202001,"Mexico",281584
"68",202001,"Mexico",281584
"69",202001,"Mexico",13314378
"70",202001,"Mexico",1888196
"71",202001,"Mexico",10303011
"72",202001,"Mexico",1123171
"73",202001,"Mexico",1123171
"74",202001,"Mexico",175689006
"75",202001,"Mexico",7605135
"76",202001,"Mexico",157548899
"77",202001,"Mexico",10213022
"78",202001,"Mexico",10213022
"79",202001,"Mexico",321950
"80",202001,"Mexico",19618742
"81",202001,"Mexico",35
"82",202001,"Mexico",19618707
"83",202001,"Mexico",681232
"84",202001,"Mexico",11797
"85",202001,"Mexico",669435
"86",202001,"Mexico",669435
"87",202001,"Mexico",10053910
"88",202001,"Mexico",448901
"89",202001,"Mexico",9600824
"90",202001,"Mexico",4185
"91",202001,"Mexico",4185
"92",202001,"Mexico",5212381
"93",202001,"Mexico",501200
"94",202001,"Mexico",653844
"95",202001,"Mexico",4057337
"96",202001,"Mexico",4057337
"97",202001,"Mexico",132366080
"98",202001,"Mexico",42510443
"99",202001,"Mexico",71796736
"100",202001,"Mexico",18058901
"101",202001,"Mexico",18058901
"102",202001,"Mexico",2653680
"103",202001,"Mexico",184545
"104",202001,"Mexico",2430103
"105",202001,"Mexico",39032
"106",202001,"Mexico",39032
"107",202001,"Mexico",224834
"108",202001,"Mexico",224824
"109",202001,"Mexico",10
"110",202001,"Mexico",10
"111",202001,"Mexico",628432
"112",202001,"Mexico",88325
"113",202001,"Mexico",540107
"114",202001,"Mexico",197143552
"115",202001,"Mexico",19726657
"116",202001,"Mexico",176342607
"117",202001,"Mexico",1074288
"118",202001,"Mexico",1074288
"119",202001,"Mexico",554698
"120",202001,"Mexico",19842
"121",202001,"Mexico",534138
"122",202001,"Mexico",718
"123",202001,"Mexico",718
"124",202001,"Mexico",275105
"125",202001,"Mexico",275105
